date,product,category,price,quantity,region
2025-01-03,Mouse,Accessories,67,3,Hrazdan
2025-01-04,Tablet,Electronics,455,10,Vanadzor
2025-01-05,Headphones,Accessories,143,8,Vanadzor
2025-01-06,Mouse,Accessories,77,4,Yerevan
2025-01-07,Phone,Electronics,980,9,Hrazdan
2025-01-08,Webcam,Accessories,64,2,Yerevan
2025-01-09,Desk Chair,Furniture,242,10,Abovyan
2025-01-10,Tablet,Electronics,528,6,Vanadzor
2025-01-11,Mouse,Accessories,22,3,Vanadzor
2025-01-12,Phone,Electronics,880,1,Abovyan
2025-01-13,Printer,Office,101,1,Yerevan
2025-01-14,Printer,Office,187,9,Yerevan
2025-01-15,Keyboard,Accessories,42,9,Hrazdan
2025-01-16,Webcam,Accessories,89,5,Gyumri
2025-01-17,Webcam,Accessories,90,9,Gyumri
2025-01-18,Tablet,Electronics,308,10,Hrazdan
2025-01-19,Phone,Electronics,969,9,Gyumri
2025-01-20,Printer,Office,204,8,Gyumri
2025-01-21,Mouse,Accessories,49,8,Yerevan
2025-01-22,Desk Chair,Furniture,72,6,Yerevan
2025-01-23,Desk Chair,Furniture,150,1,Yerevan
2025-01-24,Webcam,Accessories,82,5,Gyumri
2025-01-25,Laptop,Electronics,976,2,Hrazdan
2025-01-26,Laptop,Electronics,1270,7,Vanadzor
2025-01-27,Headphones,Accessories,77,4,Abovyan
2025-01-28,Mouse,Accessories,66,10,Vanadzor
2025-01-29,Printer,Office,158,5,Hrazdan
2025-01-30,Keyboard,Accessories,70,7,Gyumri
2025-01-01,Mouse,Accessories,49,4,Yerevan
2025-01-02,Keyboard,Accessories,47,9,Abovyan
2025-01-03,Headphones,Accessories,177,5,Yerevan
2025-01-04,Webcam,Accessories,93,3,Vanadzor
2025-01-05,Phone,Electronics,798,4,Gyumri
2025-01-06,Mouse,Accessories,61,4,Abovyan
2025-01-07,Monitor,Electronics,264,10,Gyumri
2025-01-08,Desk Chair,Furniture,153,9,Hrazdan
2025-01-09,Printer,Office,132,5,Hrazdan
2025-01-10,Mouse,Accessories,51,3,Hrazdan
2025-01-11,Webcam,Accessories,127,9,Vanadzor
2025-01-12,Headphones,Accessories,134,4,Gyumri
2025-01-13,Webcam,Accessories,117,1,Abovyan
2025-01-14,Phone,Electronics,718,10,Hrazdan
2025-01-15,Mouse,Accessories,47,10,Gyumri
2025-01-16,Phone,Electronics,540,10,Hrazdan
2025-01-17,Printer,Office,100,2,Vanadzor
2025-01-18,Monitor,Electronics,266,3,Abovyan
2025-01-19,Laptop,Electronics,1112,8,Yerevan
2025-01-20,Tablet,Electronics,407,3,Hrazdan
2025-01-21,Desk Chair,Furniture,94,4,Yerevan
2025-01-22,Desk Chair,Furniture,160,1,Vanadzor
2025-01-23,Webcam,Accessories,137,3,Yerevan
2025-01-24,Phone,Electronics,640,8,Abovyan
2025-01-25,Mouse,Accessories,49,5,Yerevan
2025-01-26,Monitor,Electronics,332,6,Vanadzor
2025-01-27,Desk Chair,Furniture,163,2,Gyumri
2025-01-28,Laptop,Electronics,1167,8,Vanadzor
2025-01-29,Tablet,Electronics,321,9,Abovyan
2025-01-30,Tablet,Electronics,315,4,Yerevan
2025-01-01,Headphones,Accessories,151,10,Gyumri
2025-01-02,Printer,Office,264,1,Abovyan
2025-01-03,Tablet,Electronics,575,4,Vanadzor
2025-01-04,Phone,Electronics,811,9,Vanadzor
2025-01-05,Webcam,Accessories,42,2,Hrazdan
2025-01-06,Monitor,Electronics,218,3,Hrazdan
2025-01-07,Monitor,Electronics,283,2,Vanadzor
2025-01-08,Headphones,Accessories,85,3,Abovyan
2025-01-09,Tablet,Electronics,229,8,Yerevan
2025-01-10,Phone,Electronics,527,3,Yerevan
2025-01-11,Webcam,Accessories,122,1,Hrazdan
2025-01-12,Headphones,Accessories,108,4,Yerevan
2025-01-13,Mouse,Accessories,43,6,Yerevan
2025-01-14,Monitor,Electronics,369,5,Hrazdan
2025-01-15,Mouse,Accessories,49,8,Yerevan
2025-01-16,Monitor,Electronics,396,4,Gyumri
2025-01-17,Headphones,Accessories,113,4,Vanadzor
2025-01-18,Phone,Electronics,920,3,Gyumri
2025-01-19,Phone,Electronics,542,8,Gyumri
2025-01-20,Headphones,Accessories,53,10,Gyumri
2025-01-21,Monitor,Electronics,251,9,Abovyan
2025-01-22,Laptop,Electronics,1436,8,Hrazdan
2025-01-23,Laptop,Electronics,1203,1,Yerevan
2025-01-24,Laptop,Electronics,814,5,Hrazdan
2025-01-25,Tablet,Electronics,492,5,Vanadzor
2025-01-26,Printer,Office,187,1,Gyumri
2025-01-27,Mouse,Accessories,52,6,Abovyan
2025-01-28,Printer,Office,142,8,Gyumri
2025-01-29,Printer,Office,169,4,Hrazdan
2025-01-30,Printer,Office,181,2,Yerevan
2025-01-01,Phone,Electronics,738,4,Gyumri
2025-01-02,Keyboard,Accessories,98,10,Hrazdan
2025-01-03,Mouse,Accessories,25,2,Gyumri
2025-01-04,Mouse,Accessories,60,9,Hrazdan
2025-01-05,Phone,Electronics,969,3,Gyumri
2025-01-06,Webcam,Accessories,128,3,Abovyan
2025-01-07,Phone,Electronics,935,5,Gyumri
2025-01-08,Webcam,Accessories,113,10,Gyumri
2025-01-09,Tablet,Electronics,459,8,Abovyan
2025-01-10,Webcam,Accessories,90,7,Vanadzor
2025-01-11,Keyboard,Accessories,57,4,Gyumri
2025-01-12,Monitor,Electronics,338,4,Abovyan
2025-01-13,Keyboard,Accessories,41,10,Hrazdan
2025-01-14,Tablet,Electronics,367,10,Vanadzor
2025-01-15,Webcam,Accessories,143,6,Hrazdan
2025-01-16,Desk Chair,Furniture,241,5,Hrazdan
2025-01-17,Laptop,Electronics,1116,6,Gyumri
2025-01-18,Monitor,Electronics,229,4,Hrazdan
2025-01-19,Desk Chair,Furniture,138,2,Gyumri
2025-01-20,Printer,Office,127,6,Hrazdan
